Pilar,Ordem do Pilar,Número da Questão,Questão,Tipo de Resposta,Complemento/Dica
Estratégia e Governança,1,1,"A clínica possui missão, visão e valores formalmente definidos e comunicados à equipe?",sim_nao,Verifique se há documento escrito ou apresentação que os colaboradores conhecem.
Estratégia e Governança,1,2,Existe um planejamento estratégico anual com metas mensuráveis (KPIs)?,sim_nao,"Exemplos de KPIs: taxa de ocupação, faturamento mensal, NPS, ticket médio."
Estratégia e Governança,1,3,As metas estratégicas são revisadas com que frequência?,texto_livre,Periodicidade ideal: mensal ou trimestral.
Estratégia e Governança,1,4,Qual é o nível de envolvimento dos sócios na gestão operacional do dia a dia?,escala_1_5,"1 = Totalmente ausente, 5 = Muito envolvido e presente."
Estratégia e Governança,1,5,Existe separação clara entre a pessoa jurídica da clínica e as finanças pessoais dos sócios?,sim_nao,Pró-labore definido? Contas bancárias separadas?
Estratégia e Governança,1,6,A clínica tem um organograma atualizado e conhecido por toda a equipe?,sim_nao,Hierarquia clara reduz conflitos e duplicidade de responsabilidades.
Estratégia e Governança,1,7,Há reuniões de gestão periódicas com pauta e ata?,sim_nao,Reuniões semanais ou mensais com registro facilitam a accountability.
Estratégia e Governança,1,8,A tomada de decisão é centralizada nos sócios ou distribuída para gestores?,texto_livre,Descreva o modelo atual de governança e tomada de decisão.
Estratégia e Governança,1,9,Existe um comitê ou responsável dedicado à gestão (gestor/diretor clínico)?,sim_nao,A ausência de um gestor profissionalizado é um fator de risco comum.
Estratégia e Governança,1,10,A clínica realiza análise SWOT ou análise de mercado periodicamente?,sim_nao,Análise competitiva e de mercado é fundamental para posicionamento estratégico.
Estratégia e Governança,1,11,Os profissionais de saúde conhecem e compartilham da visão de crescimento da clínica?,sim_nao,Alinhamento da equipe clínica com os objetivos estratégicos.
Estratégia e Governança,1,12,Existem indicadores definidos para monitorar a saúde do negócio mensalmente?,sim_nao,"Exemplos: faturamento, inadimplência, produtividade por profissional, etc."
Estratégia e Governança,1,13,Como você avalia o processo de tomada de decisão estratégica na clínica?,escala_1_5,"1 = Muito desestruturado e reativo, 5 = Estruturado, baseado em dados."
Estratégia e Governança,1,14,"A clínica tem plano de contingência para cenários de crise (perda de profissional-chave, queda de receita)?",sim_nao,Planos de contingência aumentam a resiliência do negócio.
Estratégia e Governança,1,15,A liderança da clínica tem clareza sobre as forças e fraquezas do negócio?,escala_1_5,"1 = Baixa clareza, 5 = Alta clareza e ação sobre os pontos de melhoria."
Estratégia e Governança,1,16,"Existe acordo entre sócios formalizado sobre papéis, responsabilidades e retiradas?",sim_nao,Acordo de sócios previne conflitos e define regras de saída.
Estratégia e Governança,1,17,A clínica realiza benchmarking com concorrentes ou referências de mercado?,sim_nao,Benchmarking ajuda a identificar oportunidades e diferenciais competitivos.
Estratégia e Governança,1,18,Como você avalia a maturidade de gestão estratégica da clínica?,escala_1_5,"1 = Muito imaturo/informal, 5 = Altamente estruturado e profissionalizado."
Financeiro e Fluxo de Caixa,2,1,A clínica realiza controle de fluxo de caixa diário ou semanal?,sim_nao,Controle frequente evita surpresas e permite tomada de decisão ágil.
Financeiro e Fluxo de Caixa,2,2,"Qual é o prazo médio de recebimento das consultas/procedimentos (particular, planos, convênios)?",texto_livre,Descreva o prazo médio por modalidade de recebimento.
Financeiro e Fluxo de Caixa,2,3,A clínica conhece sua margem de contribuição por procedimento?,sim_nao,Margem de contribuição = Receita – Custos Variáveis diretos.
Financeiro e Fluxo de Caixa,2,4,Existe reserva de capital de giro equivalente a pelo menos 3 meses de despesas fixas?,sim_nao,Reserva mínima recomendada para segurança operacional.
Financeiro e Fluxo de Caixa,2,5,Como você avalia a previsibilidade da receita mensal da clínica?,escala_1_5,"1 = Muito imprevisível, 5 = Altamente previsível e recorrente."
Financeiro e Fluxo de Caixa,2,6,A clínica monitora a taxa de inadimplência e possui processo de cobrança estruturado?,sim_nao,"Taxa de inadimplência saudável varia por segmento, mas idealmente abaixo de 3%."
